Date, Open_Nasdaq, High_Nasdaq, Low_Nasdaq, Close_Nasdaq
4/9/14,4129.63,4185.19,4121.17,4183.9
4/8/14,4085.18,4120.24,4066.11,4112.99
4/7/14,4110.92,4133.68,4052.14,4079.75
4/4/14,4263.94,4267.06,4118.72,4127.73
4/3/14,4282.18,4284.68,4216.57,4237.74
4/2/14,4281.61,4286.09,4258.85,4276.46
4/1/14,4219.87,4268.2,4218.77,4268.04
3/31/14,4185.63,4212.97,4180.54,4198.99
3/28/14,4163.18,4203.49,4144.69,4155.76
3/27/14,4169.35,4186.13,4131.81,4151.23
3/26/14,4254.98,4263.07,4173.58,4173.58
3/25/14,4252.65,4274.32,4203.65,4234.27
3/24/14,4289.49,4289.48,4190.61,4226.39
3/21/14,4339.9,4344.39,4268.34,4276.79
3/20/14,4297.99,4329.61,4287.41,4319.29
3/19/14,4331.46,4334.3,4283.53,4307.6
3/18/14,4286.22,4334.66,4284.11,4333.31
3/17/14,4274.22,4301.28,4273.01,4279.95
3/14/14,4250.45,4272.34,4241.94,4245.4
3/13/14,4338.26,4339.9,4242.94,4260.42
3/12/14,4288.6,4323.33,4270.22,4323.33
3/11/14,4342.93,4354.43,4295.47,4307.19
3/10/14,4332.62,4339.93,4307.84,4334.45
3/7/14,4370.98,4371.39,4319.15,4336.22
3/6/14,4368.81,4371.71,4341,4352.13
3/5/14,4352.76,4362.5,4344.15,4357.97
3/4/14,4327.85,4357.21,4327.53,4351.97
3/3/14,4261.42,4284.15,4239.65,4277.3
2/28/14,4323.52,4342.59,4275.61,4308.12
2/27/14,4291.47,4322.46,4284.78,4318.93
2/26/14,4300.45,4316.82,4278.53,4292.06
2/25/14,4298.48,4307.51,4275.8,4287.59
2/24/14,4273.32,4311.13,4272.11,4292.97
2/21/14,4282.17,4284.85,4261.63,4263.41
2/20/14,4241.46,4272.34,4226.75,4267.55
2/19/14,4260.74,4274.28,4232.38,4237.95
2/18/14,4253.71,4277.33,4243.56,4272.78
2/14/14,4237,4250.91,4225.75,4244.03
2/13/14,4171.58,4240.67,4170.47,4240.67
2/12/14,4196.85,4212.61,4190.39,4201.29
2/11/14,4154.65,4198.52,4153.1,4191.04
2/10/14,4125.12,4148.3,4122.61,4148.17
2/7/14,4081.82,4126.51,4069.93,4125.86
2/6/14,4022.66,4064.06,4022.17,4057.12
2/5/14,4015.5,4026.28,3968.19,4011.55
2/4/14,4019.44,4044.2,4004.58,4031.52
2/3/14,4105.06,4113.55,3989.95,3996.96
1/31/14,4068.63,4124.93,4067.61,4103.88
1/30/14,4098.81,4135.84,4094.17,4123.13
1/29/14,4060.61,4091.27,4044.76,4051.43
1/28/14,4067.86,4099.81,4067.69,4097.96
1/27/14,4132.22,4136.46,4052.63,4083.61
1/24/14,4194.97,4197.93,4128.17,4128.17
1/23/14,4224.36,4224.44,4192.28,4218.87
1/22/14,4234.58,4246.56,4225.52,4243
1/21/14,4222.98,4227.93,4193.17,4225.76
1/17/14,4207.82,4217.24,4187.31,4197.58
1/16/14,4209.59,4219.28,4204.16,4218.69
1/15/14,4196.53,4218.8,4195.98,4214.88
1/14/14,4129.6,4183.84,4125.81,4183.02
1/13/14,4167.41,4179.47,4097.99,4113.3
1/10/14,4168.94,4174.68,4142.22,4174.66
1/9/14,4179.04,4182.74,4142.7,4156.19
1/8/14,4154.28,4171.75,4145,4165.61
1/7/14,4128.57,4158.18,4126.48,4153.18
1/6/14,4137.03,4139.78,4103.75,4113.68
1/3/14,4148.56,4152.96,4124.96,4131.91
1/2/14,4160.03,4160.96,4131.79,4143.07
12/31/13,4161.51,4177.73,4160.77,4176.59
12/30/13,4153.58,4158.73,4142.18,4154.2
12/27/13,4173.36,4175.36,4153.64,4156.59
12/26/13,4164.21,4169.97,4158.59,4167.18
